Id,Date,User,Tweet
32,2021-09-11 08:40:33+00:00,soaleapbern1211,"You can't fight fire with fire...arms. 

Ano masabi lang na may naipasang batas si pebbles? Ay naku ah. #DutertePalpak #DuterteCorrupt #dutertewakasan"
33,2021-09-11 08:28:06+00:00,ojojcastle,"In other countries, one video or one short clip could end a person's, or politician's, career. Sa Pilipinas lang kapalan ng mukha. #RoqueResign #DutertePalpak"
34,2021-09-11 08:10:52+00:00,mayilopa,"Facts: Longest lockdown. Economy down. Jobs lost. Overpriced PPEs. Most vaccine procured is the least effective. Only country using face shields. Billion contract to Pharmally, no bidding. Chinese connections. Disagrees w/ medical experts. #DutertePalpak #DuqueResign #TaeKaHarry"
35,2021-09-11 07:33:56+00:00,AprilFoolDudeI1,Another clown in Malacañang 🤡 Tatae's group just got bigger. #DuterteInutil #DutertePalpak
36,2021-09-11 07:32:11+00:00,DeeJayBee42,"What do you call a president who has billions in intel funds but asks who owns the biggest mall in Iloilo City ? 

#DuterteInutil #DutertePalpak #dutertewakasan"
37,2021-09-11 07:24:29+00:00,frustratedDoe,"I'm really so overwhelmed I'm just feeling fuck all, I'm too tired to do the regulars like cleaning, grocery shopping, laundry.. I just wanna drive around whatever. Hayy. #DutertePalpak"
38,2021-09-11 06:23:59+00:00,AlexKLG,"Ngayon lang ako nakakita ng Pangulo na hayop mag threaten, puro threats! Lumang tugtugin ka na! #DutertePalpak #DuterteInutil"
39,2021-09-11 06:04:43+00:00,maze_val,"Kaya binigyan ng baril ni duterte ang mga firefighters para magpalakas sa kanila at madagdagan ang boto nila next 2022 election, kasi alam nilang di na nila makukuha ang boto ng mga HCWs..

Babawi talaga tayo sa #Halalan2022

#DutertePalpak
#dutertewakasan"
40,2021-09-11 05:34:56+00:00,mikkotaniegra,Hindi mo alam kung sinasadya bang magtanga-tangahan ni Duterte para mapansin ng mga tao o sadyang tanga talaga eh. #DutertePalpak
41,2021-09-11 05:21:20+00:00,justincey3,Daw everyday nlng gd ya gahatag si Duterte sang disappointment sa mga Filipinos. #DutertePalpak
42,2021-09-11 04:54:07+00:00,Vhaliw1,"si DUTERT yung mahilig mag SALSAL pero takot ipakita ang SALN😄😄😄

#DutertePalpak"
