Id,Date,User,Tweet
30,2022-05-09 11:40:14+00:00,padrinoPH,"Yung mga nakapila at matagal nang nakapila sa polling centers, tandaan nyo kung sino ang mga nag appoint ng mga current @COMELEC commissioners. #dutertepalpak #DuterteLegacy #Halalan2022"
31,2022-05-09 11:18:12+00:00,royVives,"Kung may sisisihin, ang masasabi ko lang ay #DutertePalpak"
32,2022-05-09 08:38:44+00:00,gnormes,"Protest Vote - protesting against the lies, false information and revisionism of the Marcos camp.  Filipinos don't forget.  #MarcosMagnanakaw #DutertePalpak"
33,2022-05-09 01:15:02+00:00,FactUpo,"Dahil kay #DutertePalpak, pati #ComelecPalpak! #Halaan2022"
34,2022-05-07 17:00:02+00:00,talktofayekaren,"oh ayan, malapit nang bumaba sa pwesto si duterte. pretty sure i’ll see “sAl@maT tAt@y d!g0n6” on fb &amp; i will take the liberty to angry react to all shared posts i’ll see :) da only credit we should be giving that monster is how he fucked up BIG time
#DutertePalpak
#DuterteInutil"
35,2022-05-02 11:47:00+00:00,ReplyCarlos1988,"Nasan si Rodrigo Duterte? Is he still breathing? Not that I care pero hello, we need you to announce a holiday or two. Bangon naman. Final stretch na o. Yawa. #DutertePalpak #DuterteLegacy #DuterteResign"
36,2022-04-28 16:01:38+00:00,xxtinepol,"Kung kailan eleksiyon, saka mo lang ginagawa o sinasabi yung mga dapat ginawa at sinabi mo na noon. Lutang na po kabahuan ng administrasyon mo. Dibale, ilang buwan ka nalang naming titiisin. #DutertePalpak #DahilEleksiyon"
37,2022-04-28 10:52:37+00:00,apojoe,"#FreeLeilaNow  #DutertePalpak  

Itigil na ang pagkulong dahil sa imbentong kaso"
38,2022-04-24 08:38:21+00:00,CNorimaki,"Thanks Duterte's Legislators for letting most Artist supporting Leni. If it wasn't for your dumb decision this would not happen. 🤡
#LetLeniLead2022 #NoToMarcosDuterte2022
#DuterteDuwag
#DutertePalpak"
39,2022-04-24 02:23:10+00:00,wagkamote,"Gone are the days of ""Republika na Walang Plaka""...

Waiting time now for new plates is just 2 months... 

#DutertePalpak"
40,2022-04-22 11:51:53+00:00,FactUpo,"Tanginang gobyerno, mas lumala ang traffic!! #DutertePalpak"
41,2022-04-21 15:31:02+00:00,meanY0ung,May ginawa na palang integrated bus terminal sa Bocaue. Pero bakit walang IEC yung gobyerno? At least 3 months dapat sinabihan na commuters. Punyeta tong gobyerno na to. #DutertePalpak talaga! 😒
42,2022-04-21 09:34:25+00:00,walphs,May dalawang baso — isang may crack tapos isang walang crack. Ano ang bibilhin mo? ‘Di ba ang obvious choice ay ‘yung walang crack? ‘Yung walang bahid?! #MarcosMagnanakaw #DutertePalpak #LeniKiko2022
43,2022-04-21 09:20:57+00:00,Bichubichu_lite,"Mga inutang ni Duterte administration napunta lang sa mga alipores para matakpan ang katarantqduhan nila. Tapos taumbayan magbabayad? Malamarcos lang? 
#NeverAgain 
#MarcosMagnanakaw 
#dutertecorrupt"
44,2022-04-20 04:37:31+00:00,UltraViol8r,"#DutertePalpak &amp; #TugadeTukmol are so out of touch w/ the commuting public.
Then again, they don't care. They never did.
&amp; idiots want to vote for #MarcosSinungaling, for more of the same."
45,2022-04-15 07:36:58+00:00,stompnoise,"No surprises, duterte is protecting trolls #DutertePalpak"
46,2022-04-13 15:27:36+00:00,marcboni,The lines of commuters on EDSA today were SHOCKING!! Nakakaiyak!! Ang haba ng mga linya ; buong EDSA na ata nakalinya ang commuters!! #DutertePalpak #DuterteLegacy @jdeakin72
47,2022-04-13 15:24:32+00:00,marcboni,Our guys took 3 hours for a trip that took 30 mins before; wala lahat ng transport sa EDSA! actually maglakad na lang sila mas mabilis pa @MMDA @NEDAhq @lenirobredo @DOTrPH @jdeakin72 #DutertePalpak #MarcosPalpak
48,2022-04-13 15:07:21+00:00,ernest_galecia,#DutertePalpak!!!
49,2022-04-10 06:48:43+00:00,MifloresJade,“Jam Magno” TOXICITY OVERLOAD YOU GO TO HELL🔥☄️🔥☄️YOU PESTERS SO MANY LIVES BECAUSE OF YOUR INSANITY😂😂😂 #DutertyLegacy #DutertePalpak #KarmaForLife
50,2022-04-08 13:14:12+00:00,Tatsulok13,Buti nagsira ang live feed. Sino yung muntanga na kumuda about #dutertepalpak and his wifey bonggonngong kakaloka #TalindegPangasinan
51,2022-04-05 10:37:12+00:00,h3yYOUmatter,"ang lakas ng loob ng gobyerno na magpa-RTO wala namang mass transpo, super haba ng pila!!!!!

#DutertePalpak"
52,2022-04-04 01:20:40+00:00,kenshee123,Watching Headstart... @DickGordonDG is on 🔥🔥🔥🔥#DuterteCorrupt
53,2022-03-31 23:00:51+00:00,jmschumey,Saan ba talaga napunta ang inutang? More than half ng bakuna ay donated. Kulanh ang ayuda. Tinipid ang bayad sa HCWs. Di bayad na mga ospital &amp; hotels. Bilyon ang ambag ng LGUs &amp; private sector. Saan nga kaya ginasta? Utang pa more si Inutil! #DuterteCorrupt
54,2022-03-31 15:53:21+00:00,_rg_bndct,"grabe, 6 minutes na lang ay April na. Parang kaka-celebrate lang ng new year kagabi tapos ilang buwan na pala ang nakalipas.

ang bilis ng panahon, konti na lang baba na ang kriminal, pahirap, at konta-mamayang si duterte sa pwesto! HAHSHAHAK

#OustDuterte
#DutertePalpak"
55,2022-03-30 11:43:52+00:00,jc_pagdanganan,Galing mag redtag nitong pangulo nyo di naman masugpo ang corruption at mahuli ang mga drug lords. #DutertePalpak
56,2022-03-30 11:43:48+00:00,snowqueenII,Nanggigil ako sa pag red tag ni Dutae sa #Gabriela. Sakit batok. @ArleneBrosas #DuterteCorrupt
57,2022-03-29 21:00:37+00:00,KitVagana,#DuterteCorrupt
58,2022-03-29 21:00:32+00:00,KitVagana,#DutertePalpak
59,2022-03-29 08:59:35+00:00,jmschumey,"Duterte: Bahala na yung bagong presidente humanap ng pera. Before he stepped down, PNoy made sure his successor had funds &amp; left a healthy economy. #DutertePalpak #DuterteCorrupt"
60,2022-03-29 00:48:14+00:00,jmschumey,Carrot farmers are losing ₱2.5M a day to smuggling. Puro from China syempre. They’ve written to Du30 &amp; included evidences. Dead ma si Inutil. Grabe daw ang smuggling sa adming ito. #DutertePalpak #DuterteCorrupt
61,2022-03-22 12:57:17+00:00,audaxaudacis1,"Of course Duterte backs his fellow liars and thieves. 
#DutertePalpak #dutertelegacy #dutertemagnanakaw"
62,2022-03-22 08:14:03+00:00,audaxaudacis1,"Duterte endorses thieves 🤢 Big surprise! Duterts term as president is just like Marcos Sr's-- Lots of killings, lots of plunder, lots of favors to powerful people. Hello Pharmally and Michael Yang! Hi Mr. Lao! 😂 #dutertepalpak #dutertemagnanakaw"
63,2022-03-20 16:11:04+00:00,papa_ramir,Walden Bello has resorted to singing Sinatra to serenade the cowards and call out Comelec on the futility of their sanctions on debate absentees. #Halalan2022 #PiliPinasDebates2022 #MarcosDuwag #DutertePalpak 🇵🇭✊💖
64,2022-03-20 15:12:39+00:00,papa_ramir,"Walden Bello truthbombs. Calling out the two jokers who are absent from the debates and the weakness of Comelec’s sanctions on these f@ck!ng cowards. Ok, I added that last bit.🙄💩🤮 #MarcosDuwag #DutertePalpak #PiliPinasDebates2022 🇵🇭✊💖"
65,2022-03-19 11:34:52+00:00,ianjereth,"ka leody really said #DutertePalpak

#PiliPinasDebates2022"
66,2022-03-18 12:05:49+00:00,UltraViol8r,"Karl Chua, tuta ni #DutertePalpak, may the deaths you cause with your stubborn decision to push RTO this 01APR2022 haunt you &amp; your kin.
#MarcosNumber1Sinungaling
#DutertePalpak"
67,2022-03-17 14:02:41+00:00,robert1001smith,"High priest demon is now making a chess move to make sure his daughter Basagulera would win on VP position this coming election 2022, they cannot deny how successful was the sortees of #LeniKiko2022 team compared to LBMs

#ZamboangaIsPink
#DutertePalpak
#MarcosNumber1Sinungaling"
68,2022-03-16 15:19:10+00:00,robert1001smith,"My officemates are infuriated becs of the mandatory R2O set by our very much competitive gov't -- becs many of them had vacated their apartments here in the Metro &amp; returned to their province/s whilst on WFH set up. Sana man lng ngwindow period muna kyo, ano?

#DutertePalpak 🤡"
69,2022-03-16 11:06:55+00:00,migeulspam,no to duterte this dog the main reason why vp leni robredo facing a lot of misogynist comments #dutertepalpak #LeniKiko2022
70,2022-03-16 06:43:36+00:00,jmschumey,Ayaw daw ni Inutil ng gambling kaya lang kailangan natin ng pera dahil sa pandemic &amp; fuel crisis. Sinungaling? Wala pang Virus &amp; crisis nung payagan mo yung mga POGOs. #DutertePalpak #DuterteCorrupt #DuterteSinungaling
71,2022-03-15 02:38:00+00:00,DCanarysings,Oil prices are spiking at all time high YET still this government doesn't have the sense of urgency!!!! Ano na??????🤬 #DutertePalpak
72,2022-03-15 01:04:16+00:00,jmschumey,"Despite the fuel crisis, Du30 will not call for an emergency session of congress as it will allow the Commission on Appointments to convene &amp; question his new appointees. #DuterteCorrupt #DutertePalpak"
73,2022-03-13 04:47:07+00:00,KitVagana,#DuterteCorrupt
74,2022-03-13 04:47:03+00:00,KitVagana,#DutertePalpak
